DEBUG 2023-10-03 21:51:53,195 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\json\__init__.py first seen with mtime 1694630746.168839
DEBUG 2023-10-03 21:51:53,195 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1696004250.2129557
DEBUG 2023-10-03 21:51:53,196 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1696004246.8070495
DEBUG 2023-10-03 21:51:53,196 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\files\move.py first seen with mtime 1696004250.2347524
DEBUG 2023-10-03 21:51:53,196 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\email\header.py first seen with mtime 1694630745.1963408
DEBUG 2023-10-03 21:51:53,196 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1696004250.8163335
DEBUG 2023-10-03 21:51:53,197 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1696004250.468396
DEBUG 2023-10-03 21:51:53,197 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1696004250.6143496
DEBUG 2023-10-03 21:51:53,197 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1696004250.8072298
DEBUG 2023-10-03 21:51:53,198 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1696004247.070359
DEBUG 2023-10-03 21:51:53,198 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\utils\tree.py first seen with mtime 1696004250.8941565
DEBUG 2023-10-03 21:51:53,198 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1696004250.5737617
